,Annual Percent Change
1980,13.50%
1981,10.30%
1982,6.10%
1983,3.20%
1984,4.30%
1985,3.50%
1986,1.90%
1987,3.70%
1988,4.10%
1989,4.80%
1990,5.40%
1991,4.20%
1992,3.00%
1993,3.00%
1994,2.60%
1995,2.80%
1996,2.90%
1997,2.30%
1998,1.60%
1999,2.20%
2000,3.40%
2001,2.80%
2002,1.60%
2003,2.30%
2004,2.70%
2005,3.40%
2006,3.20%
2007,2.90%
2008,3.80%
2009,-0.40%
2010,1.60%
2011,3.20%
2012,2.10%
 2013,1.50%
 2014,1.60%
 2015,0.10%
 2016,1.30%
 2017,2.10%
 2018,2.40%
 2019,1.80%
 2020,1.20%
 2021,4.70%
 2022,8.00%
 2023,4.10%
 2024,3.20%
